customer_id,Recency,Frequency,Monetary,Cluster,Segment
C00001,49,4,286.63,3,New/Occasional
C00002,126,11,1245.18,1,At-Risk
C00003,0,4,195.37,3,New/Occasional
C00004,6,6,99.45,3,New/Occasional
C00005,161,36,2593.21,1,At-Risk
C00006,4,20,1639.15,3,New/Occasional
C00007,108,5,200.79,1,At-Risk
C00008,122,32,947.14,1,At-Risk
C00009,4,49,4320.4,0,Loyal Mid-Tier
C00010,82,4,111.38,3,New/Occasional
C00011,54,27,253.72,3,New/Occasional
C00012,24,7,941.66,3,New/Occasional
C00013,58,8,342.45,3,New/Occasional
C00014,9,31,3404.13,0,Loyal Mid-Tier
C00015,40,18,2901.68,3,New/Occasional
C00016,36,11,327.64,3,New/Occasional
C00017,32,11,733.7,3,New/Occasional
C00018,93,48,2040.03,0,Loyal Mid-Tier
C00019,0,2,142.28,3,New/Occasional
C00020,1,33,3655.72,0,Loyal Mid-Tier
C00021,92,8,176.93,3,New/Occasional
C00022,24,48,833.16,0,Loyal Mid-Tier
C00023,2,43,4004.31,0,Loyal Mid-Tier
C00024,45,5,954.36,3,New/Occasional
C00025,50,14,1298.41,3,New/Occasional
C00026,36,16,677.67,3,New/Occasional
C00027,2,5,417.42,3,New/Occasional
C00028,28,1,126.93,3,New/Occasional
C00029,31,13,981.01,3,New/Occasional
C00030,22,12,4801.36,3,New/Occasional
C00031,39,2,132.01,3,New/Occasional
C00032,26,11,1431.44,3,New/Occasional
C00033,141,2,170.56,1,At-Risk
C00034,21,10,428.48,3,New/Occasional
C00035,90,15,477.75,3,New/Occasional
C00036,54,5,698.38,3,New/Occasional
C00037,4,8,1005.04,3,New/Occasional
C00038,79,22,1107.07,3,New/Occasional
C00039,23,16,2269.28,3,New/Occasional
C00040,121,28,2841.93,0,Loyal Mid-Tier
C00041,105,25,1245.31,1,At-Risk
C00042,32,4,253.36,3,New/Occasional
C00043,8,2,283.73,3,New/Occasional
C00044,154,18,1184.28,1,At-Risk
C00045,24,25,4860.47,0,Loyal Mid-Tier
C00046,63,1,414.12,3,New/Occasional
C00047,85,60,3223.01,0,Loyal Mid-Tier
C00048,25,14,4159.74,3,New/Occasional
C00049,50,44,2982.35,0,Loyal Mid-Tier
C00050,56,47,1253.78,0,Loyal Mid-Tier
C00051,210,12,3850.34,1,At-Risk
C00052,4,15,1060.97,3,New/Occasional
C00053,73,21,5401.99,0,Loyal Mid-Tier
C00054,409,14,3678.83,1,At-Risk
C00055,46,9,983.09,3,New/Occasional
C00056,40,22,1571.63,3,New/Occasional
C00057,4,6,393.57,3,New/Occasional
C00058,18,11,1893.43,3,New/Occasional
C00059,78,58,39377.86,2,VIP
C00060,111,13,547.19,1,At-Risk
C00061,42,6,273.95,3,New/Occasional
C00062,0,3,159.85,3,New/Occasional
C00063,5,17,1260.84,3,New/Occasional
C00064,201,17,805.2,1,At-Risk
C00065,66,7,247.71,3,New/Occasional
C00066,3,2,77.86,3,New/Occasional
C00067,3,1,115.9,3,New/Occasional
C00068,143,2,130.28,1,At-Risk
C00069,106,31,1488.43,0,Loyal Mid-Tier
C00070,22,8,320.0,3,New/Occasional
C00071,22,10,457.24,3,New/Occasional
C00072,2,19,213.44,3,New/Occasional
C00073,134,51,9464.37,2,VIP
C00074,13,40,5413.15,0,Loyal Mid-Tier
C00075,40,6,240.98,3,New/Occasional
C00076,77,14,1342.04,3,New/Occasional
C00077,40,12,5661.94,0,Loyal Mid-Tier
C00078,127,66,5642.19,0,Loyal Mid-Tier
C00079,20,19,4010.12,0,Loyal Mid-Tier
C00080,46,28,2007.54,0,Loyal Mid-Tier
C00081,96,12,3227.66,3,New/Occasional
C00082,99,8,1928.78,3,New/Occasional
C00083,27,11,1318.05,3,New/Occasional
C00084,143,29,4289.42,0,Loyal Mid-Tier
C00085,16,62,4792.34,0,Loyal Mid-Tier
C00086,8,12,164.64,3,New/Occasional
C00087,45,17,4449.34,0,Loyal Mid-Tier
C00088,143,4,173.32,1,At-Risk
C00089,15,31,1453.35,0,Loyal Mid-Tier
C00090,83,15,2869.73,3,New/Occasional
C00091,39,35,3731.26,0,Loyal Mid-Tier
C00092,12,15,696.36,3,New/Occasional
C00093,31,2,82.39,3,New/Occasional
C00094,45,39,2717.38,0,Loyal Mid-Tier
C00095,17,42,1637.41,0,Loyal Mid-Tier
C00096,15,7,1676.89,3,New/Occasional
C00097,13,2,460.3,3,New/Occasional
C00098,44,36,1705.52,0,Loyal Mid-Tier
C00099,38,13,1370.45,3,New/Occasional
C00100,19,8,1012.16,3,New/Occasional
C00101,111,7,816.53,1,At-Risk
C00102,189,41,3856.68,1,At-Risk
C00103,20,1,37.52,3,New/Occasional
C00104,29,12,2786.04,3,New/Occasional
C00105,10,12,929.0,3,New/Occasional
C00106,54,14,811.73,3,New/Occasional
C00107,31,9,186.65,3,New/Occasional
C00108,76,15,373.47,3,New/Occasional
C00109,81,33,1300.52,0,Loyal Mid-Tier
C00110,18,27,1460.98,0,Loyal Mid-Tier
C00111,15,37,4169.45,0,Loyal Mid-Tier
C00112,30,16,2326.85,3,New/Occasional
C00113,15,10,577.28,3,New/Occasional
C00114,23,16,1890.39,3,New/Occasional
C00115,12,6,258.09,3,New/Occasional
C00116,39,14,2846.68,3,New/Occasional
C00117,102,42,6455.78,0,Loyal Mid-Tier
C00118,13,17,2601.22,3,New/Occasional
C00119,25,11,869.11,3,New/Occasional
C00120,40,50,2032.31,0,Loyal Mid-Tier
C00121,29,10,382.25,3,New/Occasional
C00122,2,15,1875.16,3,New/Occasional
C00123,51,8,721.89,3,New/Occasional
C00124,35,30,3159.53,0,Loyal Mid-Tier
C00125,29,43,5669.89,0,Loyal Mid-Tier
C00126,63,76,8822.63,2,VIP
C00127,8,4,520.09,3,New/Occasional
C00128,5,11,483.87,3,New/Occasional
C00129,41,39,694.63,0,Loyal Mid-Tier
C00130,28,10,678.54,3,New/Occasional
C00131,63,12,1427.33,3,New/Occasional
C00132,15,2,38.33,3,New/Occasional
C00133,34,6,345.7,3,New/Occasional
C00134,62,1,54.57,3,New/Occasional
C00135,74,16,527.49,3,New/Occasional
C00136,221,21,617.56,1,At-Risk
C00137,18,18,1108.79,3,New/Occasional
C00138,16,6,930.46,3,New/Occasional
C00139,36,11,949.0,3,New/Occasional
C00140,168,14,1381.13,1,At-Risk
C00141,40,37,3673.39,0,Loyal Mid-Tier
C00142,1,17,3393.8,3,New/Occasional
C00143,16,2,209.56,3,New/Occasional
C00144,71,5,644.63,3,New/Occasional
C00145,19,10,150.86,3,New/Occasional
C00146,1,10,1210.93,3,New/Occasional
C00147,86,35,13804.4,2,VIP
C00148,27,7,802.58,3,New/Occasional
C00149,153,13,404.06,1,At-Risk
C00150,10,4,230.79,3,New/Occasional
C00151,17,15,2047.93,3,New/Occasional
C00152,41,9,433.21,3,New/Occasional
C00153,148,28,3688.72,1,At-Risk
C00154,23,24,1943.13,0,Loyal Mid-Tier
C00155,44,5,489.49,3,New/Occasional
C00156,39,1,100.16,3,New/Occasional
C00157,53,34,5805.03,0,Loyal Mid-Tier
C00158,14,21,844.0,3,New/Occasional
C00159,213,9,390.17,1,At-Risk
C00160,41,10,478.08,3,New/Occasional
C00161,57,11,275.08,3,New/Occasional
C00162,4,2,255.61,3,New/Occasional
C00163,246,10,738.93,1,At-Risk
C00164,26,1,100.78,3,New/Occasional
C00165,29,43,5624.95,0,Loyal Mid-Tier
C00166,38,8,1094.93,3,New/Occasional
C00167,37,7,270.65,3,New/Occasional
C00168,26,46,6452.08,0,Loyal Mid-Tier
C00169,47,7,220.7,3,New/Occasional
C00170,120,19,1523.22,1,At-Risk
C00171,105,8,553.75,1,At-Risk
C00172,100,5,265.62,3,New/Occasional
C00173,30,64,14180.27,2,VIP
C00174,21,34,2196.64,0,Loyal Mid-Tier
C00175,52,10,2638.55,3,New/Occasional
C00176,94,1,29.63,3,New/Occasional
C00177,90,17,1671.8,3,New/Occasional
C00178,27,25,2617.39,0,Loyal Mid-Tier
C00179,79,2,152.47,3,New/Occasional
C00180,9,38,3138.46,0,Loyal Mid-Tier
C00181,60,3,277.53,3,New/Occasional
C00182,7,25,3509.04,0,Loyal Mid-Tier
C00183,97,35,1060.74,0,Loyal Mid-Tier
C00184,25,7,271.61,3,New/Occasional
C00185,16,11,5311.5,0,Loyal Mid-Tier
C00186,5,10,579.12,3,New/Occasional
C00187,1,3,71.59,3,New/Occasional
C00188,158,3,809.76,1,At-Risk
C00189,41,39,7181.8,0,Loyal Mid-Tier
C00190,27,12,664.36,3,New/Occasional
C00191,43,2,90.42,3,New/Occasional
C00192,119,9,1199.02,1,At-Risk
C00193,10,41,1195.85,0,Loyal Mid-Tier
C00194,1,10,583.65,3,New/Occasional
C00195,78,10,1851.84,3,New/Occasional
C00196,2,36,1555.99,0,Loyal Mid-Tier
C00197,173,16,1250.27,1,At-Risk
C00198,71,18,821.87,3,New/Occasional
C00199,8,6,482.86,3,New/Occasional
C00200,17,6,472.98,3,New/Occasional
C00201,13,2,340.2,3,New/Occasional
C00202,18,6,132.21,3,New/Occasional
C00203,44,42,1790.06,0,Loyal Mid-Tier
C00204,56,5,876.47,3,New/Occasional
C00205,48,14,1595.82,3,New/Occasional
C00206,53,1,131.82,3,New/Occasional
C00207,18,1,120.91,3,New/Occasional
C00208,1,28,1602.94,0,Loyal Mid-Tier
C00209,22,16,838.18,3,New/Occasional
C00210,2,20,3006.0,0,Loyal Mid-Tier
C00211,5,11,839.31,3,New/Occasional
C00212,37,44,3038.01,0,Loyal Mid-Tier
C00213,8,36,4167.29,0,Loyal Mid-Tier
C00214,32,12,72.39,3,New/Occasional
C00215,70,22,3447.09,0,Loyal Mid-Tier
C00216,208,7,214.64,1,At-Risk
C00217,128,4,103.63,1,At-Risk
C00218,86,11,533.99,3,New/Occasional
C00219,79,13,915.77,3,New/Occasional
C00220,39,2,150.69,3,New/Occasional
C00221,184,2,485.8,1,At-Risk
C00222,28,7,208.68,3,New/Occasional
C00223,74,7,1703.28,3,New/Occasional
C00224,79,8,577.78,3,New/Occasional
C00225,42,3,496.93,3,New/Occasional
C00226,16,1,99.91,3,New/Occasional
C00227,13,24,1227.45,3,New/Occasional
C00228,10,11,765.96,3,New/Occasional
C00229,26,27,2403.08,0,Loyal Mid-Tier
C00230,94,4,26.53,3,New/Occasional
C00231,18,3,198.45,3,New/Occasional
C00232,5,10,873.47,3,New/Occasional
C00233,81,45,6187.73,0,Loyal Mid-Tier
C00234,88,24,1978.44,0,Loyal Mid-Tier
C00235,27,6,148.34,3,New/Occasional
C00236,21,7,329.53,3,New/Occasional
C00237,22,12,580.45,3,New/Occasional
C00238,20,9,529.66,3,New/Occasional
C00239,25,14,1421.61,3,New/Occasional
C00240,94,18,1619.2,3,New/Occasional
C00241,56,1,98.87,3,New/Occasional
C00242,14,2,318.35,3,New/Occasional
C00243,239,13,644.41,1,At-Risk
C00244,174,14,1916.6,1,At-Risk
C00245,76,7,1261.32,3,New/Occasional
C00246,46,4,101.12,3,New/Occasional
C00247,23,5,75.0,3,New/Occasional
C00248,5,14,1130.23,3,New/Occasional
C00249,91,2,348.36,3,New/Occasional
C00250,21,17,1296.33,3,New/Occasional
C00251,124,33,1042.99,1,At-Risk
C00252,45,30,1972.94,0,Loyal Mid-Tier
C00253,29,2,257.05,3,New/Occasional
C00254,3,11,533.29,3,New/Occasional
C00255,51,30,3624.58,0,Loyal Mid-Tier
C00256,5,5,203.25,3,New/Occasional
C00257,53,11,1185.89,3,New/Occasional
C00258,42,7,355.73,3,New/Occasional
C00259,3,2,255.19,3,New/Occasional
C00260,5,20,2328.97,3,New/Occasional
C00261,33,2,161.88,3,New/Occasional
C00262,15,3,52.9,3,New/Occasional
C00263,181,71,25995.03,2,VIP
C00264,50,21,1650.96,3,New/Occasional
C00265,388,36,1882.69,1,At-Risk
C00266,24,74,16178.31,2,VIP
C00267,7,10,549.73,3,New/Occasional
C00268,246,8,393.8,1,At-Risk
C00269,36,4,689.13,3,New/Occasional
C00270,51,21,2221.82,3,New/Occasional
C00271,5,55,1486.79,0,Loyal Mid-Tier
C00272,89,14,570.98,3,New/Occasional
C00273,167,23,2060.31,1,At-Risk
C00274,30,1,44.15,3,New/Occasional
C00275,21,26,990.16,3,New/Occasional
C00276,16,37,2708.3,0,Loyal Mid-Tier
C00277,69,10,1517.08,3,New/Occasional
C00278,0,15,758.79,3,New/Occasional
C00279,44,22,2759.43,0,Loyal Mid-Tier
C00280,73,30,4717.38,0,Loyal Mid-Tier
C00281,14,14,632.08,3,New/Occasional
C00282,36,16,490.88,3,New/Occasional
C00283,45,16,1161.71,3,New/Occasional
C00284,25,31,1121.48,0,Loyal Mid-Tier
